Name,RA,DEC,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch
Sirius,06:45:08.9172,-16:42:58.017,-0.03640066666666667,-1.2230699999999999,0,GRV,00:00:10.00,+00:00:25.0,2000,00:00:00.00,+00:00:00.0,2000,2000
 PDS 70,14:08:10.1545,-41:23:52.573,-0.0019798000000000003,-0.024041, 43.5, HRZ,00:00:10.00,+00:00:25.0,2000,00:00:00.00,+00:00:00.0,2000,2000
 HR 8799,23:07:28.7157,+21:08:03.310,0.007218933333333335,-0.05004, 25.6, EQU,00:00:10.00,+00:00:25.0,2000,00:00:00.00,+00:00:00.0,2000,2000
 Wolf 359,10:56:28.9208,+07:00:53.003,-0.2577558666666667,-2.699215, 90, EQU,00:00:10.00,+00:00:25.0,2000,00:00:00.00,+00:00:00.0,2000,2000
 Groombridge 34,00:18:22.8849,+44:01:22.637,0.19276786666666673,0.411832, 90, EQU,00:00:10.00,+00:00:25.0,2000,00:00:00.00,+00:00:00.0,2000,2000
 40 Eridani,04:15:16.3196,-07:39:10.330,-0.14933900000000003,-3.421809, 0, GRV,00:00:10.00,+00:00:25.0,2000,00:00:00.00,+00:00:00.0,2000,2000
